item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
57487	Switzerland	Blog	2	0	0.334533	0.515524	0.497765
57979	Turkey	Blog	2	0	0	0.534912	0.160935
58354	Switzerland	Blog	3	1	0.801364	0	0.123387
58827	Australia	Blog	2	0	0.369729	0.130107	0.203236
59439	Switzerland	Blog	2	0	0.387984	0.312724	0.398431
59709	Switzerland	Blog	2	0	0.272873	0.211836	0
60654	Switzerland	Blog	2	0	0.518961	0.431219	0.761198
60655	Turkey	Blog	2	0	0.037671	0.096809	0.11941
60656	Turkey	Blog	2	0	0.070375	0.18275	0
60908	Turkey	Blog	2	0	0.428896	0.326548	0.220003
61121	Switzerland	Blog	2	0	-1	-1	-1
61122	Switzerland	Blog	2	0	0.604854	0.534765	0.150942
61904	Australia	Blog	2	0	0.134869	0.173567	0.05294
61905	Australia	Blog	2	0	0.359898	0.281418	0.252416
61906	Australia	Blog	2	0	0.163781	0.083958	0.114692
61907	Australia	Blog	2	0	0.455525	0.229075	0.487241
61908	Australia	Blog	2	0	0.091638	0.566863	0.07751
61909	Australia	Blog	2	0	0.234862	0.500995	0.179764
61910	Australia	Blog	2	0	0.290142	0.128476	0.222459
61911	Australia	Blog	2	0	0.337009	0.024748	0.101431
61912	Australia	Blog	2	0	0.40894	0.265295	0.301331
61913	Australia	Blog	2	0	0.513661	0.116356	0.372375
61914	Australia	Blog	2	0	0.402029	0.146773	0.211658
61915	Australia	Blog	2	0	0.42465	0.126569	0.22183
61918	Australia	Blog	2	0	0.516817	0.044454	0.330184
61919	Australia	Blog	2	0	0.067292	0.04895	0
61920	Australia	Blog	2	0	-1	-1	-1
61921	Australia	Blog	2	0	0	0	0.094881
61922	Australia	Blog	2	0	-1	-1	-1
61923	Australia	Blog	2	0	-1	-1	-1
61924	Australia	Blog	2	0	-1	-1	-1
61925	Australia	Blog	2	0	-1	-1	-1
61926	Australia	Blog	2	0	0.135775	0.039254	0.029178
61927	Australia	Blog	2	0	0.072459	0.469044	0.189635
61928	Australia	Blog	2	0	0.159328	0.121807	0.088743
61929	Australia	Blog	2	0	0	0	0.201148
61930	Australia	Blog	2	0	0.482366	0	0.011066
61931	Australia	Blog	2	0	0.145607	0	0.082359
61932	Australia	Blog	2	0	-1	-1	-1
61933	Australia	Blog	2	0	0.12968	0.016885	0.016232
61934	Australia	Blog	2	0	0.21322	0.109721	0.174872
61935	Australia	Blog	3	0	0.500106	0.357544	0.317227
61936	Australia	Blog	2	0	0.117885	0.089018	0.058638
61937	Australia	Blog	2	0	0.360959	0.04191	0.048452
